,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
119042,STATE - TAMIL NADU,"Manufacture of cordage, rope, twine and netting",5162,2468,2694,2650,1170,1480,2512,1298,1214,894,454,440,367,135,232,527,319,208,6056,0.9161098737936154,22.65423406060606,82.20022463636361
119043,STATE - TAMIL NADU,Manufacture of other textiles n.e.c.,2378,1288,1090,1235,648,587,1143,640,503,617,307,310,331,176,155,286,131,155,2995,1.181651376146789,22.65423406060606,82.20022463636361
119044,STATE - TAMIL NADU,Manufacture of articles of fur,23,20,3,9,9,0,14,11,3,3,3,0,0,0,0,3,3,0,26,6.666666666666667,22.65423406060606,82.20022463636361
119045,STATE - TAMIL NADU,Manufacture of articles of fur,23,20,3,9,9,0,14,11,3,3,3,0,0,0,0,3,3,0,26,6.666666666666667,22.65423406060606,82.20022463636361
119046,STATE - TAMIL NADU,Manufacture of knitted and crocheted apparel,32425,21127,11298,12171,8181,3990,20254,12946,7308,2552,1481,1071,945,612,333,1607,869,738,34977,1.8699769870773588,22.65423406060606,82.20022463636361
119047,STATE - TAMIL NADU,Manufacture of knitted and crocheted apparel,32425,21127,11298,12171,8181,3990,20254,12946,7308,2552,1481,1071,945,612,333,1607,869,738,34977,1.8699769870773588,22.65423406060606,82.20022463636361
119048,STATE - TAMIL NADU,Manufacture of leather and related products,48180,27229,20951,23056,11685,11371,25124,15544,9580,4447,2086,2361,2603,1090,1513,1844,996,848,52627,1.2996515679442509,22.65423406060606,82.20022463636361
119049,STATE - TAMIL NADU,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery",18967,13003,5964,7491,4894,2597,11476,8109,3367,1482,902,580,777,449,328,705,453,252,20449,2.1802481556002684,22.65423406060606,82.20022463636361
119050,STATE - TAMIL NADU,Tanning and dressing of leather; dressing and dyeing of fur,17728,12255,5473,6881,4542,2339,10847,7713,3134,1347,818,529,702,402,300,645,416,229,19075,2.239174127535173,22.65423406060606,82.20022463636361
119051,STATE - TAMIL NADU,"Manufacture of luggage, handbags and the like, saddlery and harness",1239,748,491,610,352,258,629,396,233,135,84,51,75,47,28,60,37,23,1374,1.523421588594705,22.65423406060606,82.20022463636361
